秋元真夏（あきもと まなつ）,1993年8月20日 （25歳）,埼玉県,1期,
生田絵梨花（いくた えりか）,1997年1月22日 （22歳）,東京都,1期,
伊藤かりん（いとう かりん）,1993年5月26日 （25歳）,神奈川県,2期,
伊藤純奈（いとう じゅんな）,1998年11月30日 （20歳）,神奈川県,2期,
伊藤理々杏（いとう りりあ）,2002年10月8日 （16歳）,沖縄県,3期,
井上小百合（いのうえ さゆり）,1994年12月14日 （24歳）,埼玉県,1期,
岩本蓮加（いわもと れんか）,2004年2月2日 （15歳）,東京都,3期,
梅澤美波（うめざわ みなみ）,1999年1月6日 （20歳）,神奈川県,3期,
衛藤美彩（えとう みさ）,1993年1月4日 （26歳）,大分県,1期,
大園桃子（おおぞの ももこ）,1999年9月13日 （19歳）,鹿児島県,3期,
北野日奈子（きたの ひなこ）,1996年7月17日 （22歳）,北海道,2期,
久保史緒里（くぼ しおり）,2001年7月14日 （17歳）,宮城県,3期,
齋藤飛鳥（さいとう あすか）,1998年8月10日 （20歳）,東京都,1期,
斉藤優里（さいとう ゆうり）,1993年7月20日 （25歳）,東京都,1期,
阪口珠美（さかぐち たまみ）,2001年11月10日 （17歳）,東京都,3期,
桜井玲香（さくらい れいか）,1994年5月16日 （24歳）,神奈川県,1期,乃木坂46キャプテン
佐々木琴子（ささき ことこ）,1998年8月28日 （20歳）,埼玉県,2期,
佐藤楓（さとう かえで）,1998年3月23日 （20歳）,愛知県,3期,
白石麻衣（しらいし まい）,1992年8月20日 （26歳）,群馬県,1期,
新内眞衣（しんうち まい）,1992年1月22日 （27歳）,埼玉県,2期,
鈴木絢音（すずき あやね）,1999年3月5日 （19歳）,秋田県,2期,
高山一実（たかやま かずみ）,1994年2月8日 （24歳）,千葉県,1期,
寺田蘭世（てらだ らんぜ）,1998年9月23日 （20歳）,東京都,2期,
中田花奈（なかだ かな）,1994年8月6日 （24歳）,埼玉県,1期,
中村麗乃（なかむら れの）,2001年9月27日 （17歳）,東京都,3期,
樋口日奈（ひぐち ひな）,1998年1月31日 （21歳）,東京都,1期,
星野みなみ（ほしの みなみ）,1998年2月6日 （20歳）,千葉県,1期,
堀未央奈（ほり みおな）,1996年10月15日 （22歳）,岐阜県,2期,
松村沙友理（まつむら さゆり）,1992年8月27日 （26歳）,大阪府,1期,
向井葉月（むかい はづき）,1999年8月23日 （19歳）,東京都,3期,
山崎怜奈（やまざき れな）,1997年5月21日 （21歳）,東京都,2期,
山下美月（やました みづき）,1999年7月26日 （19歳）,東京都,3期,
吉田綾乃クリスティー（よしだ あやのクリスティー）,1995年9月6日 （23歳）,大分県,3期,
与田祐希（よだ ゆうき）,2000年5月5日 （18歳）,福岡県,3期,
渡辺みり愛（わたなべ みりあ）,1999年11月1日 （19歳）,東京都,2期,
和田まあや（わだ まあや）,1998年4月23日 （20歳）,広島県,1期,
遠藤さくら（えんどう さくら）,2001年10月3日 （17歳）,愛知県,4期,
賀喜遥香（かき はるか）,2001年8月8日 （17歳）,栃木県,4期,
掛橋沙耶香（かけはし さやか）,2002年11月20日 （16歳）,岡山県,4期,
金川紗耶（かながわ さや）,2001年10月31日 （17歳）,北海道,4期,
北川悠理（きたがわ ゆり）,2001年8月8日 （17歳）,"アメリカ
カリフォルニア州",4期,
柴田柚菜（しばた ゆな）,2003年3月3日 （15歳）,千葉県,4期,
清宮レイ（せいみや レイ）,2003年8月1日 （15歳）,埼玉県,4期,
田村真佑（たむら まゆ）,1999年1月12日 （20歳）,埼玉県,4期,
筒井あやめ（つつい あやめ）,2004年6月8日 （14歳）,愛知県,4期,
早川聖来（はやかわ せいら）,2000年8月24日 （18歳）,大阪府,4期,
矢久保美緒（やくぼ みお）,2002年8月14日 （16歳）,東京都,4期,
